name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
K2-114 b,Confirmed,1.85,0.23,0.22,,,,0.952,0.032
K2-115 b,Confirmed,0.84,0.18,0.2,,,,1.115,0.057
K2-116 b,Confirmed,,,,,,,0.062,0.004
K2-117 b,Confirmed,,,,,,,0.181,0.009
K2-117 c,Confirmed,,,,,,,0.184,0.011
K2-118 b,Confirmed,,,,,,,0.227,0.018
K2-119 b,Confirmed,,,,,,,0.226,0.018
K2-11 b,Confirmed,,,,,,,0.674,0.832
K2-120 Ab,Confirmed,,,,,,,0.179,0.011
K2-121 b,Confirmed,,,,,,,0.669,0.012
K2-122 Ab,Confirmed,,,,,,,0.108,0.007
K2-123 b,Confirmed,,,,,,,0.246,0.014
K2-124 b,Confirmed,0.033,0.0082,0.0082,,,,0.259,0.009
K2-125 b,Confirmed,,,,,,,0.194,0.016
K2-126 b,Confirmed,,,,,,,0.176,0.011
K2-127 b,Confirmed,,,,,,,0.747,0.029
K2-128 b,Confirmed,,,,,,,0.127,0.012
K2-129 b,Confirmed,,,,,,,0.093,0.008
K2-12 b,Confirmed,,,,,,,0.208,0.052
K2-130 b,Confirmed,,,,,,,0.112,0.012
K2-131 b,Confirmed,,,,,,,0.152,0.004
K2-132 b,Confirmed,0.49,0.06,0.06,,,,1.3,0.07
K2-133 b,Confirmed,0.0069,,,,,,0.12,0.007
K2-133 c,Confirmed,0.01,,,,,,0.143,0.008
K2-133 d,Confirmed,0.026,,,,,,0.179,0.01
K2-133 e,Confirmed,,,,,,,0.154,0.012
K2-136 Ab,Confirmed,,,,,,,0.088,0.0036
K2-136 Ac,Confirmed,,,,,,,0.26,0.009
K2-136 Ad,Confirmed,,,,,,,0.129,0.007
K2-137 b,Confirmed,0.5,0.4999,0.0,,,,0.079,0.008
K2-138 b,Confirmed,0.0098,0.0035,0.0035,,,,0.14,0.015
K2-138 c,Confirmed,0.0198,0.0038,0.0038,,,,0.225,0.014
K2-138 d,Confirmed,0.0249,0.0044,0.0044,,,,0.237,0.016
K2-138 e,Confirmed,0.0409,0.006,0.006,,,,0.294,0.016
K2-138 f,Confirmed,0.005,0.0038,0.0066,,,,0.251,0.017
K2-138 g,Confirmed,0.0135,0.009,0.0167,,,,0.2688,0.0223
K2-139 b,Confirmed,0.381,0.045,0.045,,,,0.813,0.015
K2-13 b,Confirmed,,,,,,,0.169,0.085
K2-140 b,Confirmed,0.93,0.04,0.04,,,,1.093,0.015
K2-141 b,Confirmed,0.01598,0.00129,0.00129,,,,0.135,0.0045
K2-141 c,Confirmed,0.02328,,,,,,0.624,0.25
K2-146 b,Confirmed,0.01816,0.00024,0.00024,,,,0.183,0.005
K2-146 c,Confirmed,0.02358,0.00031,0.00031,,,,0.195,0.006
K2-147 b,Confirmed,,,,,,,0.123,0.013
K2-148 Ab,Confirmed,,,,,,,0.119,0.016
K2-148 Ac,Confirmed,,,,,,,0.154,0.019
K2-148 Ad,Confirmed,,,,,,,0.146,0.019
K2-149 b,Confirmed,,,,,,,0.146,0.016
K2-14 b,Confirmed,,,,,,,0.429,0.037
K2-150 b,Confirmed,,,,,,,0.178,0.019
K2-151Bb,Confirmed,,,,,,,0.133,0.007
K2-152 b,Confirmed,,,,,,,0.204,0.021
K2-153 b,Confirmed,,,,,,,0.178,0.02
K2-154 b,Confirmed,,,,,,,0.178,0.01
K2-154 c,Confirmed,,,,,,,0.185,0.012
K2-155 b,Confirmed,0.0148,0.0009,0.0016,,,,0.161,0.009
K2-155 c,Confirmed,0.0205,0.0016,0.0047,,,,0.232,0.018
K2-155 d,Confirmed,0.0154,0.0019,0.0053,,,,0.17,0.018
K2-156 b,Confirmed,,,,,,,0.103,0.006
K2-157 b,Confirmed,0.00359,0.00129,0.00123,,,,0.08342,0.008
K2-157 c,Confirmed,0.0969,0.006,0.006,,,,,
K2-157 d,Confirmed,0.0733,0.0079,0.0079,,,,,
K2-158 b,Confirmed,,,,,,,0.236,0.009
K2-158 c,Confirmed,,,,,,,0.114,0.009
K2-159 b,Confirmed,,,,,,,0.202,0.01
K2-15 b,Confirmed,,,,,,,0.221,0.027
K2-160 b,Confirmed,,,,,,,0.284,0.013
K2-161 b,Confirmed,,,,,,,0.546,0.07
K2-162 b,Confirmed,,,,,,,0.128,0.006
K2-163 b,Confirmed,,,,,,,0.22,0.011
K2-164 b,Confirmed,,,,,,,0.29,0.037
K2-165 b,Confirmed,,,,,,,0.114,0.009
K2-165 c,Confirmed,,,,,,,0.139,0.01
K2-165 d,Confirmed,,,,,,,0.236,0.013
K2-166 b,Confirmed,,,,,,,0.195,0.017
K2-166 c,Confirmed,6.0,1.0,1.0,,,,0.109,0.015
K2-167 b,Confirmed,,,,,,,0.2088,0.0125
K2-168 b,Confirmed,,,,,,,0.166,0.01
K2-168 c,Confirmed,,,,,,,0.117,0.006
K2-169 b,Confirmed,,,,,,,0.114,0.007
K2-16 b,Confirmed,,,,,,,0.18,0.021
K2-16 c,Confirmed,,,,,,,0.227,0.042
K2-16 d,Confirmed,,,,,,,0.092,0.008
K2-170 b,Confirmed,,,,,,,0.127,0.012
K2-170 c,Confirmed,,,,,,,0.161,0.014
K2-171 b,Confirmed,,,,,,,0.24,0.03
K2-172 b,Confirmed,,,,,,,0.149,0.008
K2-172 c,Confirmed,,,,,,,0.286,0.012
K2-173 Ab,Confirmed,,,,,,,0.143,0.009
K2-174 b,Confirmed,0.0289,0.0079,0.0079,,,,0.232,0.009
K2-175 Ab,Confirmed,,,,,,,0.182,0.024
K2-176 b,Confirmed,,,,,,,0.133,0.008
K2-177 b,Confirmed,,,,,,,0.189,0.014
K2-178 b,Confirmed,,,,,,,0.317,0.012
K2-179 b,Confirmed,,,,,,,0.224,0.011
K2-17 b,Confirmed,,,,,,,0.199,0.018
K2-180 b,Confirmed,0.036,0.006,0.006,,,,0.206,0.014
K2-181 b,Confirmed,,,,,,,0.253,0.018
K2-182 b,Confirmed,0.063,0.016,0.016,,,,0.24,0.0062
K2-183 b,Confirmed,,,,,,,0.232,0.124
K2-183 c,Confirmed,,,,,,,0.256,0.019
K2-183 d,Confirmed,,,,,,,0.255,0.024
K2-183 e,Confirmed,,,,,,,0.1097,0.0098
K2-184 b,Confirmed,,,,,,,0.138,0.008
K2-185 b,Confirmed,,,,,,,0.117,0.01
K2-185 c,Confirmed,,,,,,,0.2132,0.008
K2-186 b,Confirmed,,,,,,,0.283,0.015
K2-187 b,Confirmed,,,,,,,0.116,0.012
K2-187 c,Confirmed,,,,,,,0.161,0.012
K2-187 d,Confirmed,,,,,,,0.283,0.016
K2-187 e,Confirmed,,,,,,,0.212,0.016
K2-188 b,Confirmed,,,,,,,0.12,0.01
K2-188 c,Confirmed,,,,,,,0.252,0.013
K2-189 b,Confirmed,,,,,,,0.136,0.008
K2-189 c,Confirmed,,,,,,,0.223,0.011
K2-18 b,Confirmed,0.02807,0.00503,0.00535,,,,0.211,0.02
K2-18 c,Confirmed,,0.00418,0.00418,0.02363,0.00418,0.00418,,
K2-190 b,Confirmed,,,,,,,0.121,0.009
K2-190 c,Confirmed,,,,,,,0.098,0.008
K2-191 b,Confirmed,,,,,,,0.141,0.012
K2-192 b,Confirmed,,,,,,,0.136,0.012
K2-193 b,Confirmed,,,,,,,0.352,0.011
K2-194 b,Confirmed,,,,,,,0.325,0.045
K2-195 b,Confirmed,,,,,,,0.279,0.011
K2-195 c,Confirmed,,,,,,,0.23,0.013
K2-196 b,Confirmed,,,,,,,0.321,0.045
K2-197 Ab,Confirmed,,,,,,,0.228,0.014
K2-198 b,Confirmed,,,,,,,0.374,0.009
K2-198 c,Confirmed,,,,,,,0.127,0.003
K2-198 d,Confirmed,,,,,,,0.218,0.005
K2-199 b,Confirmed,0.0217,0.0057,0.0057,,,,0.1543,0.0045
K2-199 c,Confirmed,0.039,0.0072,0.0072,,,,0.2543,0.009
K2-19 b,Confirmed,0.1019,0.0053,0.0053,,,,0.691,0.035
K2-19 c,Confirmed,0.034,0.0019,0.0019,,,,0.434,0.039
K2-19 d,Confirmed,0.031,0.031,0.0,,,,0.102,0.012
K2-200 Ab,Confirmed,,,,,,,0.122,0.009
K2-2016-BLG-0005L b,Confirmed,1.1,0.08,0.08,,,,,
K2-201 b,Confirmed,,,,,,,0.125,0.007
K2-201 c,Confirmed,,,,,,,0.293,0.016
K2-202 b,Confirmed,,,,,,,0.205,0.012
K2-203 b,Confirmed,,,,,,,0.122,0.011
K2-204 b,Confirmed,,,,,,,0.272,0.033
K2-205 b,Confirmed,,,,,,,0.178,0.021
K2-206 Ab,Confirmed,,,,,,,0.249,0.014
K2-207 b,Confirmed,,,,,,,0.232,0.019
K2-208 b,Confirmed,,,,,,,0.15,0.011
K2-209 b,Confirmed,,,,,,,0.077,0.006
K2-210 b,Confirmed,,,,,,,0.073,0.006
K2-211 b,Confirmed,,,,,,,0.123,0.009
K2-212 b,Confirmed,,,,,,,0.2364,0.018
K2-213 b,Confirmed,,,,,,,0.135,0.019
K2-214 b,Confirmed,,,,,,,0.217,0.012
K2-215 b,Confirmed,,,,,,,0.189,0.014
K2-216 b,Confirmed,0.02517,0.00503,0.00503,,,,0.156,0.009
K2-217 b,Confirmed,,,,,,,0.319,0.043
K2-218 Ab,Confirmed,,,,,,,0.229,0.014
K2-219 b,Confirmed,,,,,,,0.12,0.016
K2-219 c,Confirmed,,,,,,,0.128,0.017
K2-219 d,Confirmed,,,,,,,0.23,0.029
K2-21 b,Confirmed,0.00623,0.0012,0.0012,,,,0.164,0.009
K2-21 c,Confirmed,0.01561,0.0012,0.0012,,,,0.222,0.017
K2-220 b,Confirmed,,,,,,,0.213,0.011
K2-221 b,Confirmed,,,,,,,0.15,0.009
K2-222 b,Confirmed,0.0179,0.0082,0.0082,,,,0.215,0.0071
K2-223 b,Confirmed,,,,,,,0.079,0.007
K2-223 c,Confirmed,,,,,,,0.14,0.006
K2-224 b,Confirmed,,,,,,,0.139,0.012
K2-224 c,Confirmed,,,,,,,0.215,0.011
K2-225 b,Confirmed,,,,,,,0.311,0.018
K2-226 b,Confirmed,,,,,,,0.137,0.008
K2-227 b,Confirmed,,,,,,,0.149,0.016
K2-228 Bb,Confirmed,,,,,,,0.108,0.005
K2-229 b,Confirmed,0.00815,0.00135,0.00135,,,,0.102,0.003
K2-229 c,Confirmed,0.067,0.067,0.0,,,,0.181,0.005
K2-229 d,Confirmed,0.079,0.079,0.0,,,,0.2364,0.0214
K2-22 Ab,Confirmed,1.4,1.4,0.0,,,,0.223,0.036
K2-230 b,Confirmed,,,,,,,0.175,0.014
K2-231 b,Confirmed,0.0227,0.0098,0.016,,,,0.223,0.018
K2-232 Ab,Confirmed,0.398,0.037,0.037,,,,1.0,0.022
K2-233 b,Confirmed,0.0104,0.0069,0.009,,,,0.125,0.005
K2-233 c,Confirmed,,,,,,,0.119,0.007
K2-233 d,Confirmed,0.0261,0.0148,0.0164,,,,0.236,0.01
K2-236 b,Confirmed,0.085,0.0396,0.044,,,,0.514,0.027
K2-237 b,Confirmed,1.236,0.044,0.044,,,,1.642,0.05
K2-238 b,Confirmed,0.86,0.12,0.13,,,,1.3,0.14
K2-239 b,Confirmed,0.0044,0.0013,0.0013,,,,0.098,0.009
K2-239 c,Confirmed,0.0028,0.0009,0.0009,,,,0.089,0.009
K2-239 d,Confirmed,0.0041,0.0013,0.0013,,,,0.098,0.009
K2-240 b,Confirmed,0.0157,0.0006,0.0016,,,,0.178,0.009
K2-240 c,Confirmed,0.0145,0.0009,0.0022,,,,0.161,0.009
K2-241 b,Confirmed,,,,,,,0.227,0.009
K2-242 b,Confirmed,,,,,,,0.227,0.017
K2-243 b,Confirmed,,,,,,,0.194,0.011
K2-243 c,Confirmed,,,,,,,0.179,0.012
K2-244 b,Confirmed,,,,,,,0.156,0.009
K2-245 Ab,Confirmed,,,,,,,0.387,0.012
K2-246 b,Confirmed,,,,,,,0.311,0.019
K2-247 Ab,Confirmed,,,,,,,0.189,0.014
K2-247 Ac,Confirmed,,,,,,,0.195,0.021
K2-248 b,Confirmed,,,,,,,0.229,0.012
K2-249 b,Confirmed,,,,,,,0.249,0.02
K2-24 b,Confirmed,0.05978,0.00661,0.00692,0.0648,0.0009,0.005,0.50299,0.00544
K2-24 c,Confirmed,0.0516,0.0006,0.0041,0.085,0.022,0.022,0.7075,0.0116
K2-250 b,Confirmed,,,,,,,0.218,0.013
K2-251 b,Confirmed,,,,,,,0.21,0.019
K2-252 b,Confirmed,,,,,,,0.155,0.011
K2-253 b,Confirmed,,,,,,,1.13,0.054
K2-254 b,Confirmed,,,,,,,0.145,0.021
K2-254 c,Confirmed,,,,,,,0.195,0.016
K2-255 b,Confirmed,,,,,,,0.259,0.01
K2-257 b,Confirmed,,,,,,,0.074,0.004
K2-258 b,Confirmed,,,,,,,0.268,0.018
K2-259 b,Confirmed,,,,,,,0.207,0.015
K2-25 b,Confirmed,0.0771,0.0164,0.0179,,,,0.306,0.028
K2-260 Ab,Confirmed,1.42,0.32,0.31,1.42,0.32,0.31,1.552,0.057
K2-261 b,Confirmed,0.223,0.031,0.031,0.223,0.031,0.031,0.85,0.022
K2-263 b,Confirmed,0.0466,0.0098,0.0098,,,,0.215,0.0107
K2-264 b,Confirmed,,,,,,,0.199,0.013
K2-264 c,Confirmed,,,,,,,0.238,0.017
K2-265 Ab,Confirmed,0.02058,0.00264,0.00264,,,,0.153,0.01
K2-266 Ab,Confirmed,0.0355,0.02053,0.03601,0.0343,0.01982,0.03461,0.294,0.116
K2-266 Ac,Confirmed,0.00091,0.00035,0.00053,0.00091,0.00035,0.00053,0.063,0.008
K2-266 Ad,Confirmed,0.028,0.01196,0.01793,0.02958,0.00629,0.00912,0.261,0.011
K2-266 Ae,Confirmed,0.04499,0.01573,0.02014,0.02611,0.00566,0.0085,0.244,0.01
K2-267 Ab,Confirmed,3.0,1.2,1.1,3.0,1.2,1.1,1.051,0.044
K2-268 b,Confirmed,,,,,,,0.126,0.012
K2-268 c,Confirmed,,,,,,,0.24,0.021
K2-268 d,Confirmed,,,,,,,0.1329,0.0062
K2-268 e,Confirmed,,,,,,,0.1187,0.0071
K2-268 f,Confirmed,,,,,,,0.1989,0.008
K2-269 b,Confirmed,,,,,,,0.14,0.011
K2-26 b,Confirmed,,,,,,,0.238,0.041
K2-270 b,Confirmed,,,,,,,0.123,0.01
K2-270 c,Confirmed,,,,,,,0.263,0.014
K2-271 b,Confirmed,,,,,,,0.649,0.021
K2-272 b,Confirmed,,,,,,,0.26,0.013
K2-273 b,Confirmed,,,,,,,0.394,0.114
K2-274 b,Confirmed,,,,,,,0.196,0.011
K2-275 Ab,Confirmed,,,,,,,0.2,0.011
K2-275 Ac,Confirmed,,,,,,,0.209,0.009
K2-276 b,Confirmed,,,,,,,0.336,0.019
K2-277 b,Confirmed,,,,,,,0.185,0.011
K2-278 b,Confirmed,,,,,,,0.266,0.021
K2-279 b,Confirmed,,,,,,,0.108,0.012
K2-27 Bb,Confirmed,0.09722,0.01447,0.01447,,0.014,0.014,0.4,0.021
K2-280 b,Confirmed,0.1167,0.0176,0.0176,,,,0.684,0.023
K2-281 b,Confirmed,,,,,,,0.73,0.019
K2-282 b,Confirmed,,,,,,,0.252,0.012
K2-282 c,Confirmed,,,,,,,0.132,0.009
K2-282 d,Confirmed,,,,,,,0.232,0.018
K2-283 b,Confirmed,,,,,,,0.314,0.014
K2-284 b,Confirmed,,,,,,,0.248,0.011
K2-285 b,Confirmed,0.03046,0.00431,0.00381,,,,0.231,0.005
K2-285 c,Confirmed,0.04933,0.0067,0.00717,,,,0.315,0.007
K2-285 d,Confirmed,0.02045,,,,,,0.221,0.005
K2-285 e,Confirmed,0.03367,,,,,,0.174,0.004
K2-286 b,Confirmed,0.0214,0.0135,0.0135,,,,0.187,0.018
K2-287 b,Confirmed,0.315,0.027,0.027,,,,0.833,0.013
K2-288 Bb,Confirmed,,,,,,,0.152,0.0321
K2-289 b,Confirmed,0.1529,0.0585,0.0585,,,,0.812,0.027
K2-28 b,Confirmed,,,,,,,0.207,0.021
K2-290 Ab,Confirmed,0.0343,,,,,,0.273,0.014
K2-290 Ac,Confirmed,0.774,0.047,0.047,,,,1.006,0.05
K2-291 b,Confirmed,0.02042,0.00365,0.00365,,,,0.142,0.006
K2-292 b,Confirmed,0.07709,0.01384,0.01384,,,,0.235,0.009
K2-293 b,Confirmed,,,,,,,0.219,0.022
K2-294 b,Confirmed,,,,,,,0.148,0.017
K2-295 b,Confirmed,0.335,0.062,0.062,,,,0.897,0.005
K2-296 b,Confirmed,,,,,,,0.167,0.04
K2-297 b,Confirmed,,,,,,,0.062,0.004
K2-298 b,Confirmed,,,,,,,0.093,0.003
K2-299 b,Confirmed,,,,,,,0.152,0.028
K2-299 c,Confirmed,,,,,,,0.125,0.045
K2-299 d,Confirmed,,,,,,,0.232,0.08
K2-29 Ab,Confirmed,0.73,0.04,0.04,0.73,0.04,0.04,1.19,0.02
K2-300 b,Confirmed,,,,,,,0.09,0.012
K2-301 b,Confirmed,,,,,,,0.145,0.017
K2-301 c,Confirmed,,,,,,,0.107,0.009
K2-302 b,Confirmed,,,,,,,0.08,0.018
K2-302 c,Confirmed,,,,,,,0.0856,0.009
K2-302 d,Confirmed,,,,,,,0.098,0.009
K2-303 b,Confirmed,,,,,,,0.086,0.013
K2-303 c,Confirmed,,,,,,,0.18682,0.0143
K2-304 b,Confirmed,,,,,,,0.118,0.008
K2-304 c,Confirmed,,,,,,,0.2025,0.0125
K2-305 b,Confirmed,,,,,,,0.194,0.037
K2-306 b,Confirmed,,,,,,,0.143,0.014
K2-307 b,Confirmed,,,,,,,0.1,0.008
K2-307 c,Confirmed,,,,,,,0.207,0.0107
K2-308 b,Confirmed,0.025,0.0,0.0249,,,,0.884,0.087
K2-309 Ab,Confirmed,0.033,0.0047,0.0016,,,,0.0749,0.0018
K2-309 Ac,Confirmed,0.053,0.025,0.041,,,,0.0428,0.0009
K2-309 Ad,Confirmed,0.019,0.003,0.003,,,,0.5656,0.027
K2-309 Ae,Confirmed,0.0334,0.0016,0.0013,,,,0.848,0.046
K2-30 b,Confirmed,0.579,0.027,0.028,0.623,0.031,0.031,1.039,0.051
K2-310 b,Confirmed,0.02907,0.00831,0.00831,,,,0.231,0.011
K2-310 c,Confirmed,0.0303,0.00812,0.00812,,,,0.24,0.01303
K2-311 b,Confirmed,,,,,,,1.11,0.07
K2-314 b,Confirmed,0.02753,0.00343,0.00343,,,,0.174,0.008
K2-314 c,Confirmed,0.04616,0.00595,0.00595,,,,0.3274,0.0125
K2-314 d,Confirmed,0.03203,0.00761,0.00774,,,,0.3515,0.0116
K2-315 b,Confirmed,,,,,,,0.085,0.005
K2-316 b,Confirmed,,,,,,,0.119,0.008
K2-316 c,Confirmed,,,,,,,0.163,0.011
K2-317 b,Confirmed,,,,,,,0.261,0.015
K2-318 b,Confirmed,,,,,,,0.148,0.012
K2-319 Ab,Confirmed,,,,,,,0.249,0.009
K2-31 Ab,Confirmed,1.774,0.079,0.079,,,,1.06,0.35
K2-320 b,Confirmed,,,,,,,0.234,0.013
K2-321 b,Confirmed,,,,,,,0.174,0.011
K2-322 b,Confirmed,,,,,,,0.171,0.016
K2-323 b,Confirmed,,,,,,,0.187,0.01
K2-324 b,Confirmed,,,,,,,0.217,0.012
K2-325 b,Confirmed,,,,,,,0.196,0.013
K2-326 b,Confirmed,,,,,,,0.203,0.016
K2-327 b,Confirmed,,,,,,,0.09341,0.0232
K2-328 b,Confirmed,,,,,,,0.08101,0.00571
K2-329 Ab,Confirmed,0.26,0.022,0.022,,,,0.774,0.026
K2-32 Ab,Confirmed,0.047,0.0057,0.0057,,,,0.443,0.024
K2-32 Ac,Confirmed,0.0255,0.0076,0.0076,,,,0.244,0.014
K2-32 Ad,Confirmed,0.0211,0.0079,0.0079,,,,0.292,0.017
K2-32 Ae,Confirmed,0.0066,0.0041,0.0041,,,,0.09,0.008
K2-330 b,Confirmed,,,,,,,0.2471,0.008
K2-331 b,Confirmed,,,,,,,0.1597,0.009
K2-331 c,Confirmed,,,,,,,0.2427,0.009
K2-332 b,Confirmed,,,,,,,0.196,0.0134
K2-333 b,Confirmed,,,,,,,0.5513,0.0223
K2-334 b,Confirmed,,,,,,,0.5041,0.025
K2-335 b,Confirmed,,,,,,,0.1972,0.0125
K2-336 b,Confirmed,,,,,,,0.1088,0.0045
K2-337 b,Confirmed,,,,,,,0.2337,0.0125
K2-338 b,Confirmed,,,,,,,0.0919,0.0045
K2-339 b,Confirmed,,,,,,,0.1713,0.0107
K2-33 b,Confirmed,3.7,3.69999,0.0,,,,0.45,0.033
K2-340 b,Confirmed,,,,,,,0.2998,0.0285
K2-341 b,Confirmed,,,,,,,0.2864,0.017
K2-342 b,Confirmed,,,,,,,0.1811,0.008
K2-343 b,Confirmed,,,,,,,0.1472,0.0071
K2-343 c,Confirmed,,,,,,,0.1802,0.0062
K2-344 b,Confirmed,,,,,,,0.1419,0.0045
K2-345 b,Confirmed,,,,,,,0.1856,0.0071
K2-346 b,Confirmed,,,,,,,0.2016,0.009
K2-347 b,Confirmed,,,,,,,0.215,0.009
K2-348 b,Confirmed,,,,,,,0.2908,0.0098
K2-348 c,Confirmed,,,,,,,0.2382,0.0098
K2-349 b,Confirmed,,,,,,,0.1231,0.0062
K2-34 b,Confirmed,1.78,0.13,0.13,1.76,0.13,0.13,1.245,0.029
K2-350 b,Confirmed,,,,,,,0.1374,0.0098
K2-350 c,Confirmed,,,,,,,0.2444,0.0161
K2-351 b,Confirmed,,,,,,,0.2266,0.017
K2-352 b,Confirmed,,,,,,,0.17,
K2-352 c,Confirmed,,,,,,,0.196,
K2-352 d,Confirmed,,,,,,,0.1713,0.0705
K2-353 b,Confirmed,,,,,,,0.4951,0.018
K2-354 b,Confirmed,,,,,,,0.1392,0.0071
K2-355 b,Confirmed,,,,,,,0.2007,0.0143
K2-356 b,Confirmed,,,,,,,0.2043,0.0107
K2-357 b,Confirmed,,,,,,,0.3319,0.0187
K2-358 b,Confirmed,,,,,,,0.2391,0.0125
K2-359 b,Confirmed,,,,,,,0.134,0.018
K2-35 b,Confirmed,,,,,,,0.118,0.007
K2-35 c,Confirmed,,,,,,,0.172,0.01
K2-360 b,Confirmed,0.02413,0.00236,0.00236,,,,0.13962,0.0071
K2-360 c,Confirmed,,0.00573,0.00573,0.04792,0.00573,0.00573,,
K2-361 b,Confirmed,,,,,,,0.107,0.027
K2-361 c,Confirmed,,,,,,,0.205,0.045
K2-362 b,Confirmed,,,,,,,0.0883,0.009
K2-363 b,Confirmed,,,,,,,0.098,0.018
K2-365 b,Confirmed,0.02722,0.01721,0.01721,,,,0.25926,0.0157
K2-366 b,Confirmed,0.01995,0.01152,0.01152,,,,0.21046,0.0149
K2-367 b,Confirmed,0.02036,0.01265,0.01265,,,,0.21528,0.01749
K2-368 b,Confirmed,,,,,,,0.13266,0.01838
K2-368 c,Confirmed,,,,,,,0.19021,
K2-368 d,Confirmed,,,,,,,0.13855,0.02159
K2-369 b,Confirmed,0.0069,0.0041,0.0041,,,,0.11714,0.00848
K2-36 Bb,Confirmed,0.01227,0.00346,0.00346,,,,0.128,0.007
K2-36 Bc,Confirmed,0.02454,0.00724,0.00724,,,,0.2783,0.0196
K2-370 b,Confirmed,0.0349,0.0044,0.0044,,,,0.2248,0.0054
K2-371 b,Confirmed,4.71,,,,,,1.16,0.0775
K2-372 b,Confirmed,0.0289,0.0169,0.0169,,,,0.26274,0.00669
K2-373 b,Confirmed,0.0162,0.00897,0.00897,,,,0.18387,0.0125
K2-374 b,Confirmed,0.01139,0.00588,0.00588,,,,0.14212,0.00517
K2-374 c,Confirmed,0.01797,0.01095,0.01095,,,,0.19743,0.00767
K2-375 b,Confirmed,0.01834,0.0106,0.0106,,,,0.20011,0.01552
K2-376 b,Confirmed,0.0129,0.00743,0.00743,,,,0.15488,0.01062
K2-377 b,Confirmed,0.01237,0.006,0.107,,,,0.15104,0.01178
K2-378 b,Confirmed,0.02838,0.01737,0.01737,,,,0.2569,0.0205
K2-379 b,Confirmed,0.01759,0.01048,0.01048,,,,0.19458,0.01766
K2-37 b,Confirmed,,,,,,,0.144,0.015
K2-37 c,Confirmed,,,,,,,0.245,0.024
K2-37 d,Confirmed,,,,,,,0.244,0.032
K2-380 b,Confirmed,0.02504,0.0145,0.0145,,,,0.24347,0.0157
K2-381 b,Confirmed,,,,,,,0.1981,0.0437
K2-381 c,Confirmed,,,,,,,0.08886,0.02097
K2-381 d,Confirmed,,,,,,,0.15033,0.017
K2-382 b,Confirmed,0.0162,0.01016,0.01016,,,,0.18485,0.01187
K2-383 b,Confirmed,0.01026,0.00522,0.00522,,,,0.13953,0.00946
K2-384 b,Confirmed,,,,,,,0.09599,0.00535
K2-384 c,Confirmed,,,,,,,0.10625,0.00669
K2-384 d,Confirmed,,,,,,,0.12419,0.00669
K2-384  e,Confirmed,,,,,,,0.11999,0.00732
K2-384 f,Confirmed,,,,,,,0.19824,0.00732
K2-385 b,Confirmed,0.0101,0.00563,0.00563,,,,0.1373,0.01124
K2-386 b,Confirmed,0.01954,0.01152,0.01152,,,,0.207,0.00598
K2-387 b,Confirmed,0.14303,0.09968,0.09968,,,,0.65323,0.02355
K2-388 b,Confirmed,0.0412,0.0263,0.0263,,,,0.3265,0.02043
K2-389 b,Confirmed,0.01778,0.0104,0.0104,,,,0.19484,0.01017
K2-389 c,Confirmed,0.01655,0.00859,0.00859,,,,0.182,0.01231
K2-38 b,Confirmed,0.06,0.03,0.03,,,,0.17,0.03
K2-38 c,Confirmed,0.03115,0.01447,0.01447,,,,0.216,0.026
K2-390 b,Confirmed,0.06364,0.039,0.039,,,,0.41625,0.0306
K2-391 b,Confirmed,0.00783,0.00538,0.00538,,,,0.12231,0.01677
K2-392 b,Confirmed,0.014,0.00793,0.00793,,,,0.165,0.01374
K2-393 b,Confirmed,0.01995,0.01277,0.01277,,,,0.20983,0.0149
K2-394 b,Confirmed,0.01237,0.00639,0.00639,,,,0.15095,0.01124
K2-395 b,Confirmed,0.02404,0.0142,0.0142,,,,0.23169,0.01588
K2-395 c,Confirmed,0.03716,0.02209,0.02209,,,,0.30288,0.02293
K2-396 b,Confirmed,0.0107,0.0061,0.0061,,,,0.14087,0.00919
K2-396 c,Confirmed,0.0315,0.01891,0.01891,,,,0.27871,0.00999
K2-397 b,Confirmed,0.02121,0.01277,0.01277,,,,0.21563,0.01633
K2-398 b,Confirmed,0.01913,0.0113,0.0113,,,,0.20287,0.0099
K2-398 c,Confirmed,0.07366,0.0412,0.0412,,,,0.45482,0.01303
K2-39 b,Confirmed,0.09,0.05,0.05,,,,0.56,0.15
K2-3 b,Confirmed,0.02039,0.00293,0.00311,,,,0.194,0.03
K2-3 c,Confirmed,0.00673,0.00327,0.0034,,,,0.165,0.024
K2-3 d,Confirmed,0.00881,,,,,,0.135,0.021
K2-400 b,Confirmed,0.00519,0.0025,0.0025,,,,0.10376,0.00437
K2-401 b,Confirmed,0.01834,0.01174,0.01174,,,,0.2018,0.01713
K2-402 b,Confirmed,0.0245,0.01491,0.01491,,,,0.23892,0.0174
K2-403 b,Confirmed,0.07838,0.05154,0.05154,,,,0.47578,0.03453
K2-404 b,Confirmed,0.02306,0.01277,0.01277,,,,0.2257,0.0074
K2-405 b,Confirmed,0.05862,0.0342,0.0342,,,,0.40762,0.01097
K2-406 Ab,Confirmed,0.06305,0.039,0.039,,,,0.41057,0.02605
K2-407 b,Confirmed,0.00664,0.00359,0.00359,,,,0.11446,0.00794
K2-407 c,Confirmed,0.00783,0.0044,0.0044,,,,0.1213,0.00785
K2-408 b,Confirmed,0.01224,0.00626,0.00626,,,,0.14961,0.00972
