name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
HD 102272 b,Confirmed,,0.2,0.2,5.9,0.2,0.2,,
HD 102272 c,Confirmed,,0.4,0.4,2.6,0.4,0.4,,
HD 102329 b,Confirmed,,0.3,0.3,5.9,0.3,0.3,,
HD 102329 c,Confirmed,,0.25,0.3,1.52,0.25,0.3,,
HD 102365 Ab,Confirmed,,0.008,0.008,0.05,0.008,0.008,,
HD 102843 b,Confirmed,,0.0456,0.0456,0.3584,0.0456,0.0456,,
HD 102888 b,Confirmed,,0.15,0.15,5.69,0.15,0.15,,
HD 102956 Ab,Confirmed,,0.023,0.023,0.96,0.023,0.023,,
HD 103197 b,Confirmed,,0.006,0.006,0.098,0.006,0.006,,
HD 103720 b,Confirmed,,0.025,0.025,0.62,0.025,0.025,,
HD 103774 Ab,Confirmed,,0.022,0.022,0.367,0.022,0.022,,
HD 103891 b,Confirmed,,0.06,0.06,1.44,0.06,0.06,,
HD 103949 b,Confirmed,,0.0072,0.0072,0.0352,0.0072,0.0072,,
HD 104067 b,Confirmed,,0.0104,0.0104,0.1954,0.0104,0.0104,,
HD 104067 c,Confirmed,,0.006,0.006,0.0415,0.006,0.006,,
HD 104067 d,Confirmed,,,,,,,0.116,0.0107
HD 10442 b,Confirmed,,0.15,0.15,2.1,0.15,0.15,,
HD 104985 b,Confirmed,,,,8.3,,,,
HD 105618 b,Confirmed,,0.008,0.007,0.08,0.008,0.007,,
HD 105779 b,Confirmed,,0.06,0.06,0.64,0.06,0.06,,
HD 106252 b,Confirmed,10.0,0.73,0.78,7.56,,,,
HD 106270 b,Confirmed,,0.8,0.8,11.0,0.8,0.8,,
HD 106315 b,Confirmed,0.033,0.0098,0.0098,,,,0.214,0.018
HD 106315 c,Confirmed,0.038,0.012,0.012,,,,0.3908,0.008
HD 10647 Ab,Confirmed,,0.18,0.18,0.93,0.18,0.18,,
HD 106515 Ab,Confirmed,,0.14,0.14,9.61,0.14,0.14,,
HD 106574 b,Confirmed,,1.1,1.1,8.5,1.1,1.1,,
HD 106906 (AB) b,Confirmed,11.0,2.0,2.0,,,,,
HD 107148 Ab,Confirmed,,0.036,0.036,0.21,0.036,0.036,,
HD 107148 Ac,Confirmed,,0.0098,0.0098,0.0626,0.0098,0.0098,,
HD 108147 b,Confirmed,,0.04,0.04,0.261,0.04,0.04,,
HD 108202 b,Confirmed,3.0,0.5,0.7,,,,,
HD 108236 b,Confirmed,,,,,,,0.14149,0.00874
HD 108236 c,Confirmed,,,,,,,0.1845,0.008
HD 108236 d,Confirmed,,,,,,,0.2427,0.0098
HD 108236 e,Confirmed,,,,,,,0.2783,0.0116
HD 108236 f,Confirmed,,,,,,,0.17995,0.00509
HD 108341 Ab,Confirmed,,3.4,1.2,3.5,3.4,1.2,,
HD 108863 Ab,Confirmed,,0.2,0.2,2.6,0.2,0.2,,
HD 108874 b,Confirmed,,0.13,0.13,1.36,0.13,0.13,,
HD 108874 c,Confirmed,,0.3,0.3,1.018,0.3,0.3,,
HD 109246 b,Confirmed,,0.09,0.09,0.77,0.09,0.09,,
HD 109271 Ab,Confirmed,,0.004,0.004,0.054,0.004,0.004,,
HD 109271 Ac,Confirmed,,0.007,0.007,0.076,0.007,0.007,,
HD 109286 b,Confirmed,,0.15,0.15,2.99,0.15,0.15,,
HD 109749 Ab,Confirmed,,0.016,0.016,0.28,0.016,0.016,0.99,
HD 10975 b,Confirmed,,0.15,0.06,0.45,0.15,0.06,,
HD 110067 b,Confirmed,0.0179,0.00573,0.0056,,,,0.19627,0.0027
HD 110067 c,Confirmed,0.0198,0.0198,0.0,,,,0.2132,0.0036
HD 110067 d,Confirmed,0.02681,0.0104,0.0104,,,,0.2543,0.0036
HD 110067 e,Confirmed,0.0123,0.0123,0.0,,,,0.1731,0.0036
HD 110067 f,Confirmed,0.01586,0.0061,0.006,,,,0.232,0.0036
HD 110067 g,Confirmed,0.0264,0.0264,0.0,,,,0.23258,0.0045
HD 110113 b,Confirmed,0.01432,0.00195,0.00195,,,,0.1829,0.0107
HD 110113 c,Confirmed,,0.0038,0.0038,0.033,0.0038,0.0038,,
HD 11112 b,Confirmed,8.176,3.2,0.627,,,,,
HD 111232 b,Confirmed,7.965,0.479,1.128,6.8,,,,
HD 111591 b,Confirmed,,0.4,0.4,4.4,0.4,0.4,,
HD 11231 b,Confirmed,,0.047,0.041,0.434,0.047,0.041,,
HD 112570 b,Confirmed,3.42,0.84,1.4,,,,,
HD 112640 b,Confirmed,,1.0,1.0,5.0,1.0,1.0,,
HD 113337 Ab,Confirmed,,0.2,0.2,3.1,0.2,0.2,,
HD 113337 Ac,Confirmed,,0.5,0.5,7.2,0.5,0.5,,
HD 113538 b,Confirmed,,0.04,0.04,0.36,0.04,0.04,,
HD 113538 c,Confirmed,,0.06,0.06,0.93,0.06,0.06,,
HD 114082 b,Confirmed,8.0,1.0,1.0,,,,1.0,0.03
HD 114386 b,Confirmed,,,,1.24,,,,
HD 114386 c,Confirmed,,,,1.19,,,,
HD 114613 b,Confirmed,,0.032,0.032,0.357,0.032,0.032,1.182,
HD 114729 Ab,Confirmed,,,,0.84,,,,
HD 114783 b,Confirmed,6.3,2.97,26.9,1.1,0.06,0.06,,
HD 114783 c,Confirmed,1.9,0.4,0.5,0.61,0.0053,0.0056,,
HD 11505 Ab,Confirmed,7.899,1.703,3.245,,,,,
HD 11506 b,Confirmed,4.88,0.333,1.986,4.83,0.52,0.52,,
HD 11506 c,Confirmed,,0.057,0.057,0.408,0.057,0.057,,
HD 11506 d,Confirmed,12.8,0.3,0.6,,,,,
HD 115404 Ab,Confirmed,,0.022,0.02,0.097,0.022,0.02,,
HD 115404 Ac,Confirmed,10.319,1.209,1.473,,,,,
HD 115587 b,Confirmed,0.7,,,,,,0.49,
HD 115954 Ab,Confirmed,8.5,0.4,0.6,8.29,0.58,0.75,,
HD 116029 Ab,Confirmed,,0.2,0.2,2.1,0.2,0.2,,
HD 116029 Ac,Confirmed,,0.1,0.1,1.27,0.1,0.1,,
HD 117207 b,Confirmed,,,,2.06,,,,
HD 11755 b,Confirmed,,1.0,1.0,6.5,1.0,1.0,,
HD 117618 b,Confirmed,,0.014,0.014,0.174,0.014,0.014,,
HD 118203 b,Confirmed,2.17,0.08,0.08,,,,1.14,0.03
HD 118203 c,Confirmed,11.9,0.6,0.7,,,,,
HD 118904 Ab,Confirmed,,1.2,1.2,3.1,1.2,1.2,,
HD 11964 Ab,Confirmed,,0.056,0.056,0.622,0.056,0.056,,
HD 11964 Ac,Confirmed,,0.01,0.01,0.079,0.01,0.01,,
HD 120084 b,Confirmed,,,,4.5,,,,
HD 121504 Ab,Confirmed,,,,1.22,,,,
HD 122562 c,Confirmed,,0.065,0.045,0.23,0.065,0.045,,
HD 124330 Ab,Confirmed,,0.06,0.06,0.75,0.06,0.06,,
HD 12484 b,Confirmed,,0.14,0.14,2.98,0.14,0.14,,
HD 125271 b,Confirmed,10.904,1.253,1.876,,,,,
HD 125390 b,Confirmed,,0.96,0.96,22.16,0.96,0.96,1.08,
HD 125595 b,Confirmed,,0.004,0.004,0.042,0.004,0.004,,
HD 125612 Ab,Confirmed,,,,3.0,,,,
HD 125612 Ac,Confirmed,,,,0.058,,,,
HD 125612 Ad,Confirmed,,,,7.2,,,,
HD 12648 b,Confirmed,,0.4,0.4,2.9,0.4,0.4,,
